ID,WAGE,OCCUPATION,SECTOR,UNION,EDUCATION,EXPERIENCE,AGE,SEX,MARR,RACE,SOUTH
1,5.10,6,1,0,8,21,35,1,1,2,0
2,4.95,6,1,0,9,42,57,1,1,3,0
3,6.67,6,1,0,12,1,19,0,0,3,0
4,4.00,6,0,0,12,4,22,0,0,3,0
5,7.50,6,0,0,12,17,35,0,1,3,0
6,13.07,6,0,1,13,9,28,0,0,3,0
7,4.45,6,0,0,10,27,43,0,0,3,1
8,19.47,6,0,0,12,9,27,0,0,3,0
9,13.28,6,1,0,16,11,33,0,1,3,0
10,8.75,6,0,0,12,9,27,0,0,3,0
11,11.35,6,0,1,12,17,35,0,1,3,0
12,11.50,6,1,1,12,19,37,0,0,3,0
13,6.50,6,0,0,8,27,41,0,1,3,1
14,6.25,6,0,1,9,30,45,0,0,3,1
15,19.98,6,0,0,9,29,44,0,1,3,1
16,7.30,6,2,0,12,37,55,0,1,3,0
17,8.00,6,0,0,7,44,57,0,1,3,1
18,22.20,6,1,1,12,26,44,0,1,3,0
19,3.65,6,0,0,11,16,33,0,0,3,0
20,20.55,6,0,0,12,33,51,0,1,3,0
21,5.71,6,1,1,12,16,34,1,1,3,0
22,7.00,6,1,1,7,42,55,0,1,1,0
23,3.75,6,0,0,12,9,27,0,0,3,0
24,4.50,6,0,0,11,14,31,0,1,1,1
25,9.56,6,0,0,12,23,41,0,1,3,0
26,5.75,6,1,0,6,45,57,0,1,3,1
27,9.36,6,1,0,12,8,26,0,1,3,0
28,6.50,6,0,0,10,30,46,0,1,3,0
29,3.35,6,1,0,12,8,26,1,1,3,0
30,4.75,6,0,0,12,8,26,0,1,3,0
31,8.90,6,0,0,14,13,33,0,0,3,0
32,4.00,6,0,0,12,46,64,1,0,3,1
33,4.70,6,0,0,8,19,33,0,1,3,0
34,5.00,6,0,0,17,1,24,1,0,3,1
35,9.25,6,1,0,12,19,37,0,0,3,0
36,10.67,6,0,0,12,36,54,0,0,1,0
37,7.61,6,2,0,12,20,38,0,1,1,1
38,10.00,6,2,1,12,35,53,0,1,1,0
39,7.50,6,0,0,12,3,21,0,0,3,0
40,12.20,6,1,0,14,10,30,0,1,3,1
41,3.35,6,0,0,12,0,18,0,0,3,0
42,11.00,6,1,1,14,14,34,0,1,3,1
43,12.00,6,1,0,12,14,32,0,1,3,0
44,4.85,6,1,0,9,16,31,1,1,3,0
45,4.30,6,2,0,13,8,27,0,0,3,1
46,6.00,6,1,0,7,15,28,1,1,3,1
47,15.00,6,1,0,16,12,34,0,1,3,0
48,4.85,6,0,0,10,13,29,0,0,3,1
49,9.00,6,0,1,8,33,47,0,1,3,0
50,6.36,6,1,0,12,9,27,0,1,3,0
51,9.15,6,0,0,12,7,25,0,1,3,0
52,11.00,6,1,1,16,13,35,0,1,3,0
53,4.50,6,1,0,12,7,25,1,1,3,0
54,4.80,6,1,0,12,16,34,1,1,3,0
55,4.00,6,0,0,13,0,19,0,0,3,0
56,5.50,6,1,0,12,11,29,1,0,3,0
57,8.40,6,1,0,13,17,36,0,0,3,0
58,6.75,6,1,0,10,13,29,0,1,3,0
59,10.00,6,1,1,12,22,40,0,0,1,0
60,5.00,6,1,0,12,28,46,1,1,3,0
61,6.50,6,0,0,11,17,34,0,0,3,0
62,10.75,6,2,1,12,24,42,0,1,3,0
63,7.00,6,1,0,3,55,64,0,1,2,1
64,11.43,6,2,0,12,3,21,0,0,3,1
65,4.00,6,1,1,12,6,24,0,0,1,0
66,9.00,6,2,0,10,27,43,0,1,3,0
67,13.00,6,1,1,12,19,37,0,1,1,1
68,12.22,6,2,1,12,19,37,0,1,3,0
69,6.28,6,1,0,12,38,56,1,1,3,0
70,6.75,6,1,1,10,41,57,0,1,1,1
71,3.35,6,1,0,11,3,20,0,0,1,1
72,16.00,6,0,1,14,20,40,0,1,3,0
73,5.25,6,0,0,10,15,31,0,1,3,0
74,3.50,6,1,0,8,8,22,0,1,2,1
75,4.22,6,1,0,8,39,53,1,1,3,1
76,3.00,6,1,1,6,43,55,1,1,2,0
77,4.00,6,1,1,11,25,42,1,1,3,1
78,10.00,6,0,1,12,11,29,0,1,3,0
79,5.00,6,0,0,12,12,30,0,1,1,0
80,16.00,6,1,1,12,35,53,0,1,3,1
81,13.98,6,0,0,14,14,34,0,0,3,0
82,13.26,6,0,1,12,16,34,0,1,3,0
83,6.10,6,1,1,10,44,60,1,0,3,0
84,3.75,6,0,0,16,13,35,1,0,3,1
85,9.00,6,1,1,13,8,27,0,0,1,0
86,9.45,6,1,0,12,13,31,0,0,3,0
87,5.50,6,0,1,11,18,35,0,1,3,0
88,8.93,6,0,0,12,18,36,1,1,3,0
89,6.25,6,0,0,12,6,24,1,0,3,1
90,9.75,6,1,1,11,37,54,0,1,3,1
91,6.73,6,1,0,12,2,20,0,1,3,1
92,7.78,6,1,0,12,23,41,0,1,3,0
93,2.85,6,0,0,12,1,19,0,0,3,0
94,3.35,6,1,0,12,10,28,1,1,1,1
95,19.98,6,1,0,12,23,41,0,1,3,0
96,8.50,6,0,1,12,8,26,0,1,1,0
97,9.75,6,1,0,15,9,30,1,1,3,0
98,15.00,6,2,1,12,33,51,0,1,3,0
99,8.00,6,1,0,12,19,37,1,1,3,0
100,11.25,6,0,0,13,14,33,0,1,3,0
101,14.00,6,0,1,11,13,30,0,1,3,0
102,10.00,6,2,0,10,12,28,0,1,3,0
103,6.50,6,0,0,12,8,26,0,0,3,0
104,9.83,6,1,0,12,23,41,0,1,3,0
105,18.50,6,1,0,14,13,33,1,0,3,0
106,12.50,6,0,0,12,9,27,0,1,3,1
107,26.00,6,0,1,14,21,41,0,1,3,0
108,14.00,6,2,0,5,44,55,0,1,3,1
109,10.50,6,0,1,12,4,22,0,1,3,0
110,11.00,6,1,0,8,42,56,0,1,3,0
111,12.47,6,0,1,13,10,29,0,1,3,0
112,12.50,6,2,0,12,11,29,0,0,3,0
113,15.00,6,2,1,12,40,58,0,1,3,0
